,city,date,weather
4,"Dallas, United States of America",2018-04-05,Clear
5,"Dallas, United States of America",2018-04-06,Thundery outbreaks possible
6,"Dallas, United States of America",2018-04-07,Overcast
7,"Dallas, United States of America",2018-04-08,Clear
8,"Dallas, United States of America",2018-04-09,Partly cloudy
9,"Dallas, United States of America",2018-04-10,Clear
10,"Dallas, United States of America",2018-04-11,Clear
11,"Dallas, United States of America",2018-04-12,Clear
12,"Dallas, United States of America",2018-04-13,Overcast
13,"Dallas, United States of America",2018-04-14,Clear
14,"Dallas, United States of America",2018-04-15,Clear
15,"Dallas, United States of America",2018-04-16,Clear
16,"Dallas, United States of America",2018-04-17,Clear
17,"Dallas, United States of America",2018-04-18,Clear
18,"Dallas, United States of America",2018-04-19,Clear
19,"Dallas, United States of America",2018-04-20,Clear
20,"Dallas, United States of America",2018-04-21,Clear
21,"Dallas, United States of America",2018-04-22,Partly cloudy
22,"Dallas, United States of America",2018-04-23,Clear
23,"Dallas, United States of America",2018-04-24,Clear
24,"Dallas, United States of America",2018-04-25,Partly cloudy
25,"Dallas, United States of America",2018-04-26,Clear
26,"Dallas, United States of America",2018-04-27,Partly cloudy
27,"Dallas, United States of America",2018-04-28,Clear
28,"Dallas, United States of America",2018-04-29,Clear
29,"Dallas, United States of America",2018-04-30,Clear
0,"Dallas, United States of America",2018-05-01,Cloudy
1,"Dallas, United States of America",2018-05-02,Cloudy
2,"Dallas, United States of America",2018-05-03,Cloudy
3,"Dallas, United States of America",2018-05-04,Cloudy
4,"Dallas, United States of America",2018-05-05,Partly cloudy
5,"Dallas, United States of America",2018-05-06,Clear
6,"Dallas, United States of America",2018-05-07,Clear
7,"Dallas, United States of America",2018-05-08,Partly cloudy
8,"Dallas, United States of America",2018-05-09,Partly cloudy
9,"Dallas, United States of America",2018-05-10,Clear
10,"Dallas, United States of America",2018-05-11,Clear
11,"Dallas, United States of America",2018-05-12,Clear
12,"Dallas, United States of America",2018-05-13,Clear
13,"Dallas, United States of America",2018-05-14,Partly cloudy
14,"Dallas, United States of America",2018-05-15,Thundery outbreaks possible
15,"Dallas, United States of America",2018-05-16,Clear
16,"Dallas, United States of America",2018-05-17,Clear
17,"Dallas, United States of America",2018-05-18,Clear
18,"Dallas, United States of America",2018-05-19,Partly cloudy
19,"Dallas, United States of America",2018-05-20,Thundery outbreaks possible
20,"Dallas, United States of America",2018-05-21,Clear
21,"Dallas, United States of America",2018-05-22,Clear
22,"Dallas, United States of America",2018-05-23,Clear
23,"Dallas, United States of America",2018-05-24,Clear
24,"Dallas, United States of America",2018-05-25,Clear
25,"Dallas, United States of America",2018-05-26,Clear
26,"Dallas, United States of America",2018-05-27,Clear
27,"Dallas, United States of America",2018-05-28,Clear
28,"Dallas, United States of America",2018-05-29,Clear
29,"Dallas, United States of America",2018-05-30,Clear
30,"Dallas, United States of America",2018-05-31,Clear
0,"Dallas, United States of America",2018-06-01,Clear
1,"Dallas, United States of America",2018-06-02,Clear
2,"Dallas, United States of America",2018-06-03,Thundery outbreaks possible
3,"Dallas, United States of America",2018-06-04,Clear
4,"Dallas, United States of America",2018-06-05,Thundery outbreaks possible
5,"Dallas, United States of America",2018-06-06,Clear
6,"Dallas, United States of America",2018-06-07,Clear
7,"Dallas, United States of America",2018-06-08,Partly cloudy
8,"Dallas, United States of America",2018-06-09,Clear
9,"Dallas, United States of America",2018-06-10,Clear
10,"Dallas, United States of America",2018-06-11,Clear
11,"Dallas, United States of America",2018-06-12,Clear
12,"Dallas, United States of America",2018-06-13,Clear
13,"Dallas, United States of America",2018-06-14,Clear
14,"Dallas, United States of America",2018-06-15,Clear
15,"Dallas, United States of America",2018-06-16,Clear
16,"Dallas, United States of America",2018-06-17,Clear
17,"Dallas, United States of America",2018-06-18,Cloudy
18,"Dallas, United States of America",2018-06-19,Cloudy
19,"Dallas, United States of America",2018-06-20,Cloudy
20,"Dallas, United States of America",2018-06-21,Partly cloudy
21,"Dallas, United States of America",2018-06-22,Clear
22,"Dallas, United States of America",2018-06-23,Clear
23,"Dallas, United States of America",2018-06-24,Clear
24,"Dallas, United States of America",2018-06-25,Clear
25,"Dallas, United States of America",2018-06-26,Clear
26,"Dallas, United States of America",2018-06-27,Clear
27,"Dallas, United States of America",2018-06-28,Clear
28,"Dallas, United States of America",2018-06-29,Clear
29,"Dallas, United States of America",2018-06-30,Clear
0,"Dallas, United States of America",2018-07-01,Clear
1,"Dallas, United States of America",2018-07-02,Clear
2,"Dallas, United States of America",2018-07-03,Clear
3,"Dallas, United States of America",2018-07-04,Clear
4,"Dallas, United States of America",2018-07-05,Clear
5,"Dallas, United States of America",2018-07-06,Partly cloudy
6,"Dallas, United States of America",2018-07-07,Clear
7,"Dallas, United States of America",2018-07-08,Clear
8,"Dallas, United States of America",2018-07-09,Partly cloudy
9,"Dallas, United States of America",2018-07-10,Partly cloudy
10,"Dallas, United States of America",2018-07-11,Clear
11,"Dallas, United States of America",2018-07-12,Thundery outbreaks possible
12,"Dallas, United States of America",2018-07-13,Partly cloudy
13,"Dallas, United States of America",2018-07-14,Clear
14,"Dallas, United States of America",2018-07-15,Clear
15,"Dallas, United States of America",2018-07-16,Clear
16,"Dallas, United States of America",2018-07-17,Clear
17,"Dallas, United States of America",2018-07-18,Clear
18,"Dallas, United States of America",2018-07-19,Clear
19,"Dallas, United States of America",2018-07-20,Clear
20,"Dallas, United States of America",2018-07-21,Clear
21,"Dallas, United States of America",2018-07-22,Clear
22,"Dallas, United States of America",2018-07-23,Partly cloudy
23,"Dallas, United States of America",2018-07-24,Clear
24,"Dallas, United States of America",2018-07-25,Clear
25,"Dallas, United States of America",2018-07-26,Clear
26,"Dallas, United States of America",2018-07-27,Partly cloudy
27,"Dallas, United States of America",2018-07-28,Partly cloudy
28,"Dallas, United States of America",2018-07-29,Clear
29,"Dallas, United States of America",2018-07-30,Clear
30,"Dallas, United States of America",2018-07-31,Clear
0,"Dallas, United States of America",2018-08-01,Clear
1,"Dallas, United States of America",2018-08-02,Clear
2,"Dallas, United States of America",2018-08-03,Clear
3,"Dallas, United States of America",2018-08-04,Clear
4,"Dallas, United States of America",2018-08-05,Clear
5,"Dallas, United States of America",2018-08-06,Clear
6,"Dallas, United States of America",2018-08-07,Clear
7,"Dallas, United States of America",2018-08-08,Clear
8,"Dallas, United States of America",2018-08-09,Clear
9,"Dallas, United States of America",2018-08-10,Partly cloudy
10,"Dallas, United States of America",2018-08-11,Partly cloudy
11,"Dallas, United States of America",2018-08-12,Partly cloudy
12,"Dallas, United States of America",2018-08-13,Cloudy
13,"Dallas, United States of America",2018-08-14,Partly cloudy
14,"Dallas, United States of America",2018-08-15,Clear
15,"Dallas, United States of America",2018-08-16,Clear
16,"Dallas, United States of America",2018-08-17,Clear
17,"Dallas, United States of America",2018-08-18,Clear
18,"Dallas, United States of America",2018-08-19,Clear
19,"Dallas, United States of America",2018-08-20,Clear
20,"Dallas, United States of America",2018-08-21,Clear
21,"Dallas, United States of America",2018-08-22,Clear
22,"Dallas, United States of America",2018-08-23,Clear
23,"Dallas, United States of America",2018-08-24,Clear
24,"Dallas, United States of America",2018-08-25,Clear
25,"Dallas, United States of America",2018-08-26,Clear
26,"Dallas, United States of America",2018-08-27,Clear
27,"Dallas, United States of America",2018-08-28,Clear
28,"Dallas, United States of America",2018-08-29,Clear
29,"Dallas, United States of America",2018-08-30,Clear
30,"Dallas, United States of America",2018-08-31,Clear
0,"Dallas, United States of America",2018-09-01,Clear
1,"Dallas, United States of America",2018-09-02,Clear
2,"Dallas, United States of America",2018-09-03,Overcast
3,"Dallas, United States of America",2018-09-04,Overcast
4,"Dallas, United States of America",2018-09-05,Partly cloudy
5,"Dallas, United States of America",2018-09-06,Partly cloudy
6,"Dallas, United States of America",2018-09-07,Partly cloudy
7,"Dallas, United States of America",2018-09-08,Partly cloudy
8,"Dallas, United States of America",2018-09-09,Cloudy
9,"Dallas, United States of America",2018-09-10,Partly cloudy
10,"Dallas, United States of America",2018-09-11,Overcast
11,"Dallas, United States of America",2018-09-12,Overcast
12,"Dallas, United States of America",2018-09-13,Partly cloudy
13,"Dallas, United States of America",2018-09-14,Clear
14,"Dallas, United States of America",2018-09-15,Cloudy
15,"Dallas, United States of America",2018-09-16,Partly cloudy
16,"Dallas, United States of America",2018-09-17,Clear
17,"Dallas, United States of America",2018-09-18,Clear
18,"Dallas, United States of America",2018-09-19,Clear
19,"Dallas, United States of America",2018-09-20,Clear
20,"Dallas, United States of America",2018-09-21,Partly cloudy
21,"Dallas, United States of America",2018-09-22,Overcast
22,"Dallas, United States of America",2018-09-23,Cloudy
23,"Dallas, United States of America",2018-09-24,Overcast
24,"Dallas, United States of America",2018-09-25,Clear
25,"Dallas, United States of America",2018-09-26,Clear
26,"Dallas, United States of America",2018-09-27,Overcast
27,"Dallas, United States of America",2018-09-28,Clear
28,"Dallas, United States of America",2018-09-29,Cloudy
29,"Dallas, United States of America",2018-09-30,Cloudy
0,"Dallas, United States of America",2018-10-01,Partly cloudy
1,"Dallas, United States of America",2018-10-02,Clear
2,"Dallas, United States of America",2018-10-03,Clear
3,"Dallas, United States of America",2018-10-04,Clear
4,"Dallas, United States of America",2018-10-05,Clear
5,"Dallas, United States of America",2018-10-06,Partly cloudy
6,"Dallas, United States of America",2018-10-07,Partly cloudy
7,"Dallas, United States of America",2018-10-08,Partly cloudy
8,"Dallas, United States of America",2018-10-09,Cloudy
9,"Dallas, United States of America",2018-10-10,Clear
10,"Dallas, United States of America",2018-10-11,Clear
11,"Dallas, United States of America",2018-10-12,Clear
12,"Dallas, United States of America",2018-10-13,Overcast
13,"Dallas, United States of America",2018-10-14,Partly cloudy
14,"Dallas, United States of America",2018-10-15,Overcast
15,"Dallas, United States of America",2018-10-16,Overcast
16,"Dallas, United States of America",2018-10-17,Overcast
17,"Dallas, United States of America",2018-10-18,Partly cloudy
18,"Dallas, United States of America",2018-10-19,Overcast
19,"Dallas, United States of America",2018-10-20,Partly cloudy
20,"Dallas, United States of America",2018-10-21,Clear
21,"Dallas, United States of America",2018-10-22,Clear
22,"Dallas, United States of America",2018-10-23,Partly cloudy
23,"Dallas, United States of America",2018-10-24,Clear
24,"Dallas, United States of America",2018-10-25,Overcast
25,"Dallas, United States of America",2018-10-26,Clear
26,"Dallas, United States of America",2018-10-27,Clear
27,"Dallas, United States of America",2018-10-28,Clear
28,"Dallas, United States of America",2018-10-29,Clear
29,"Dallas, United States of America",2018-10-30,Clear
30,"Dallas, United States of America",2018-10-31,Overcast
0,"Dallas, United States of America",2018-11-01,Overcast
1,"Dallas, United States of America",2018-11-02,Clear
2,"Dallas, United States of America",2018-11-03,Clear
3,"Dallas, United States of America",2018-11-04,Clear
4,"Dallas, United States of America",2018-11-05,Clear
5,"Dallas, United States of America",2018-11-06,Clear
6,"Dallas, United States of America",2018-11-07,Thundery outbreaks possible
7,"Dallas, United States of America",2018-11-08,Overcast
8,"Dallas, United States of America",2018-11-09,Overcast
9,"Dallas, United States of America",2018-11-10,Clear
10,"Dallas, United States of America",2018-11-11,Clear
11,"Dallas, United States of America",2018-11-12,Overcast
12,"Dallas, United States of America",2018-11-13,Overcast
13,"Dallas, United States of America",2018-11-14,Clear
14,"Dallas, United States of America",2018-11-15,Clear
15,"Dallas, United States of America",2018-11-16,Cloudy
16,"Dallas, United States of America",2018-11-17,Partly cloudy
17,"Dallas, United States of America",2018-11-18,Overcast
18,"Dallas, United States of America",2018-11-19,Cloudy
19,"Dallas, United States of America",2018-11-20,Clear
20,"Dallas, United States of America",2018-11-21,Clear
21,"Dallas, United States of America",2018-11-22,Clear
22,"Dallas, United States of America",2018-11-23,Cloudy
23,"Dallas, United States of America",2018-11-24,Clear
24,"Dallas, United States of America",2018-11-25,Partly cloudy
25,"Dallas, United States of America",2018-11-26,Clear
26,"Dallas, United States of America",2018-11-27,Clear
27,"Dallas, United States of America",2018-11-28,Clear
28,"Dallas, United States of America",2018-11-29,Clear
29,"Dallas, United States of America",2018-11-30,Partly cloudy
0,"Dallas, United States of America",2018-12-01,Clear
1,"Dallas, United States of America",2018-12-02,Clear
2,"Dallas, United States of America",2018-12-03,Partly cloudy
3,"Dallas, United States of America",2018-12-04,Clear
4,"Dallas, United States of America",2018-12-05,Clear
5,"Dallas, United States of America",2018-12-06,Clear
6,"Dallas, United States of America",2018-12-07,Overcast
7,"Dallas, United States of America",2018-12-08,Overcast
8,"Dallas, United States of America",2018-12-09,Overcast
9,"Dallas, United States of America",2018-12-10,Clear
10,"Dallas, United States of America",2018-12-11,Clear
11,"Dallas, United States of America",2018-12-12,Clear
12,"Dallas, United States of America",2018-12-13,Overcast
13,"Dallas, United States of America",2018-12-14,Cloudy
14,"Dallas, United States of America",2018-12-15,Clear
15,"Dallas, United States of America",2018-12-16,Overcast
16,"Dallas, United States of America",2018-12-17,Overcast
17,"Dallas, United States of America",2018-12-18,Partly cloudy
18,"Dallas, United States of America",2018-12-19,Overcast
19,"Dallas, United States of America",2018-12-20,Partly cloudy
20,"Dallas, United States of America",2018-12-21,Clear
21,"Dallas, United States of America",2018-12-22,Clear
22,"Dallas, United States of America",2018-12-23,Clear
23,"Dallas, United States of America",2018-12-24,Partly cloudy
24,"Dallas, United States of America",2018-12-25,Cloudy
25,"Dallas, United States of America",2018-12-26,Cloudy
26,"Dallas, United States of America",2018-12-27,Partly cloudy
27,"Dallas, United States of America",2018-12-28,Clear
28,"Dallas, United States of America",2018-12-29,Clear
29,"Dallas, United States of America",2018-12-30,Partly cloudy
30,"Dallas, United States of America",2018-12-31,Overcast
